he kills|lui uccide|6|2.00
they polish|voi lucidano|6|2.00
you whisper (formal)|Lei mormora|6|2.00
I whistle|io fischio|6|2.00
she dances|lei balla|6|2.00
he attends|lui assiste|6|2.00
we cool|noi raffreddiamo|6|2.00
they listen|voi ascoltano|6|2.00
you swim (familiar)|tu nuoti|6|2.00
he lends|lui presta|6|2.00
you pay (plural)|voi pagate|6|2.00
I finish|io finisco|6|2.00
she participates|lei partecipa|6|2.00
you authorize (formal)|Lei autorizza|6|2.00
you sew (formal)|Lei cuce|6|2.00
they visit|voi visitano|6|2.00
I brush|io spazzolo|6|2.00
you inform (familiar)|tu informi|6|2.00
you defend (formal)|Lei difende|6|2.00
she stays|lei rimane|6|2.00
he invents|lui inventa|6|2.00
We came by train|Siamo venuti in treno|6|2.00
I open the door|apro la porta|6|2.00
phone me! (familiar)|telefonami!|6|2.00
we authorize|noi autorizziamo|6|2.00
you reproach (familiar)|tu rimproveri|6|2.00
I sharpen|io affilo|6|2.00
you will have (familiar)|avrai|6|2.00
she sticks|lei incolla|6|2.00
he desires|lui desidera|6|2.00
I was|ero|6|2.00
they start|voi cominciano|6|2.00
we face|noi affrontiamo|6|2.00
he travels|lui viaggia|6|2.00
she appears|lei appare|6|2.00
you consult (plural)|voi consultate|6|2.00
you read (familiar)|tu leggi|6|2.00
you push (plural)|voi spingete|6|2.00
I close|io chiudo|6|2.00
he spoils|lui guasta|6|2.00
she dies|lei more|6|2.00
you lie (plural)|voi mentite|6|2.00
we injure|noi feriamo|6|2.00
he skates|lui pattina|6|2.00
you become (formal)|Lei diventa|6|2.00
they increase|voi accrescono|6|2.00
I live in Italy|abito in Italia|6|2.00
he bleeds|lui pesanguina|6|2.00
I hope|io spero|6|2.00
you smile (formal)|Lei sorride|6|2.00
he entertains|lui intrattene|6|2.00
you try (formal)|Lei prova|6|2.00
you retain (familiar)|tu riteni|6|2.00
you win (familiar)|tu vinci|6|2.00
you admire (formal)|Lei ammira|6|2.00
you accept (familiar)|tu accetti|6|2.00
he maintains|lui mantene|6|2.00
you decide (formal)|Lei decide|6|2.00
you breathe (familiar)|tu respiri|6|2.00
they prefer|voi preferiscono|6|2.00
you dance (plural)|voi ballate|6|2.00
I contain|io conteno|6|2.00
she sweeps|lei spazza|6|2.00
she cools|lei raffredda|6|2.00
we would write|noi scriveremmo|6|2.00
After she had arrived she phoned me|dopo che era arrivata mi ha telefonato|6|2.00
I open (subjunctive)|io apra|6|2.00
they bark|voi abbaiano|6|2.00
I used to speak|parlavo|6|2.00
I avoid|io evito|6|2.00
he accepts|lui accetta|6|2.00
they belong|voi appartenono|6|2.00
we insure|noi assicuriamo|6|2.00
she chases|lei insegue|6|2.00
I would start|io comincerei|6|2.00
you sing (plural)|voi cantate|6|2.00
they forget|voi dimenticano|6|2.00
you reserve (formal)|Lei riserva|6|2.00
you had left (familiar)|eri partito|6|2.00
you hesitate (familiar)|tu esiti|6|2.00
he separates|lui separa|6|2.00
I throw|io getto|6|2.00
they fly|voi volano|6|2.00
he participates|lui partecipa|6|2.00
they open (subjunctive)|loro aprano|6|2.00
you cough (formal)|Lei tosse|6|2.00
you trade (plural)|voi commerciate|6|2.00
you shine (plural)|voi brillate|6|2.00
I enter|io entro|6|2.00
we adore|noi adoriamo|6|2.00
he helps|lui sovvene|6|2.00
you welcome (formal)|Lei accoglie|6|2.00
they agree|voi acconsentono|6|2.00
you deliver (familiar)|tu consegni|6|2.00
she whistles|lei fischia|6|2.00
you escape (formal)|Lei fugge|6|2.00
she moves|lei muove|6|2.00
you swallow (familiar)|tu ingoii|6|2.00
he loads|lui carica|6|2.00
they serve|voi servono|6|2.00
you win (formal)|Lei vince|6|2.00
she helps|lei aiuta|6|2.00
she calculates|lei calcola|6|2.00
do it for him! (familiar)|faglielo!|6|2.00
you meet (plural)|voi incontrate|6|2.00
you separate (plural)|voi separate|6|2.00
we hate|noi odiiamo|6|2.00
we had sold|avevamo venduto|6|2.00
I run|io corro|6|2.00
we warn|noi avvertiamo|6|2.00
they occupy|voi occupano|6|2.00
I agitate|io agito|6|2.00
we swim|noi nuotiamo|6|2.00
do it! (familiar)|fallo!|6|2.00
you meet (familiar)|tu incontri|6|2.00
you roll (formal)|Lei rotola|6|2.00
he flys|lui vola|6|2.00
we understand|noi capiamo|6|2.00
I insure|io assicuro|6|2.00
you would have spoken (familiar)|tu avresti parlato|6|2.00
you adopt (familiar)|tu adotti|6|2.00
you exaggerate (familiar)|tu esageri|6|2.00
I finished (absolute)|io finii|6|2.00
you try (plural)|voi provate|6|2.00
we do|noi facciamo|6|2.00
I burn|io brucio|6|2.00
you lose (formal)|Lei perde|6|2.00
you burn (familiar)|tu bruci|6|2.00
they blame|voi biasimano|6|2.00
we whisper|noi mormoriamo|6|2.00
we scare|noi spaventiamo|6|2.00
we tie|noi leghiamo|6|2.00
they chat|voi chiacchierano|6|2.00
she protects|lei protegge|6|2.00
we put|noi mettiamo|6|2.00
you alert (formal)|Lei avverte|6|2.00
you bend (familiar)|tu pieghi|6|2.00
you eat (plural)|voi mangiate|6|2.00
you risk (formal)|Lei rischia|6|2.00
she alerts|lei avverte|6|2.00
he affirms|lui afferma|6|2.00
she wraps|lei avvolge|6|2.00
she repeats|lei ripete|6|2.00
you lean (formal)|Lei appoggia|6|2.00
we enter|noi entriamo|6|2.00
she regrets|lei rimpiange|6|2.00
I print|io stampo|6|2.00
I write a ticket|scrivo un biglietto|6|2.00
you neglect (formal)|Lei trascura|6|2.00
we call|noi chiamiamo|6|2.00
you protect (plural)|voi proteggete|6|2.00
you doubt (familiar)|tu dubiti|6|2.00
you return (familiar)|tu ritorni|6|2.00
you alert (plural)|voi avvertite|6|2.00
you number (plural)|voi numerate|6|2.00
we would search|noi cercheremmo|6|2.00
you sold  (absolute plural)|voi vendeste|6|2.00
I recommend|io raccomando|6|2.00
they alert|voi avvertono|6|2.00
she ends|lei termina|6|2.00
we spend|noi spendiamo|6|2.00
you agitate (plural)|voi agitate|6|2.00
she is|lei è|6|2.00
he moves|lui muove|6|2.00
you humiliate (formal)|Lei umilia|6|2.00
I had sold|avevo venduto|6|2.00
we cut|noi tagliiamo|6|2.00
I exchange|io scambio|6|2.00
he hears|lui sente|6|2.00
we punish|noi puniamo|6|2.00
we accomplish|noi compiiamo|6|2.00
you charm (familiar)|tu affascini|6|2.00
they season|voi condono|6|2.00
you spend (plural)|voi spendete|6|2.00
he grabs|lui afferra|6|2.00
you baptize (familiar)|tu battezzi|6|2.00
we lose|noi perdiamo|6|2.00
she opens (subjunctive)|lei apra|6|2.00
we bend|noi pieghiamo|6|2.00
you employ (familiar)|tu impieghi|6|2.00
you sing (familiar)|tu canti|6|2.00
you hear (plural)|voi sentite|6|2.00
you lift (plural)|voi sollevate|6|2.00
we dance|noi balliamo|6|2.00
(you) finish! (plural)|(voi) finite|6|2.00
we decorate|noi decoriamo|6|2.00
he thinks it is the truth|sa che sia la verità|6|2.00
I show|io mostro|6|2.00
we ruin|noi roviniamo|6|2.00
you offer (formal)|Lei offre|6|2.00
you dare (plural)|voi osate|6|2.00
you raise (familiar)|tu elevi|6|2.00
I sold (absolute)|io vendei/vendetti|6|2.00
he grinds|lui macina|6|2.00
you avoid (plural)|voi evitate|6|2.00
I overflow|io straripo|6|2.00
they overflow|voi straripano|6|2.00
I arrived yesterday|sono arrivato/a ieri|6|2.00
I erase|io cancello|6|2.00
she dares|lei osa|6|2.00
he studys|lui studia|6|2.00
you press (familiar)|tu premi|6|2.00
she throws|lei getta|6|2.00
they scream|voi urlano|6|2.00
she orders|lei ordina|6|2.00
you awake (formal)|Lei sveglia|6|2.00
I deserve|io merito|6|2.00
you sink (familiar)|tu affondi|6|2.00
you reserve (familiar)|tu riservi|6|2.00
you bend (plural)|voi piegate|6|2.00
you neglect (plural)|voi trascurate|6|2.00
I ate|ho mangiato|6|2.00
we fight|noi lottiamo|6|2.00
we kill|noi uccidiamo|6|2.00
they weigh|voi pesano|6|2.00
she doubts|lei dubita|6|2.00
you ask (formal)|Lei chiede|6|2.00
they appear|voi apparono|6|2.00
she combs|lei pettina|6|2.00
they sew|voi cucono|6|2.00
they calculate|voi calcolano|6|2.00
they hide|voi nascondono|6|2.00
I ask|io chiedo|6|2.00
phone me! (formal)|mi telefoni!|6|2.00
you take (plural)|voi prendete|6|2.00
you doubt (plural)|voi dubitate|6|2.00
you start (formal)|Lei comincia|6|2.00
I guide|io guido|6|2.00
they end|voi terminano|6|2.00
we affirm|noi affermiamo|6|2.00
they break|voi rompono|6|2.00
they save|voi risparmiano|6|2.00
you bleed (familiar)|tu sanguini|6|2.00
they exaggerate|voi esagerano|6|2.00
we learn|noi impariamo|6|2.00
you soften (formal)|Lei ammorbide|6|2.00
you faint (familiar)|tu sveni|6|2.00
I doubt|io dubito|6|2.00
she accredits|lei accredita|6|2.00
you send (familiar)|tu spedisci|6|2.00
you obey (formal)|Lei obbede|6|2.00
you attach (plural)|voi attaccate|6|2.00
we conclude|noi concludiamo|6|2.00
we accept|noi accettiamo|6|2.00
you recommend (formal)|Lei raccomanda|6|2.00
he becomes|lui diventa|6|2.00
you chat (formal)|Lei chiacchiera|6|2.00
you confirm (plural)|voi confermate|6|2.00
they share|voi condividono|6|2.00
they clean|voi pulono|6|2.00
you brush (plural)|voi spazzolate|6|2.00
we find|noi troviamo|6|2.00
you attend (formal)|Lei assiste|6|2.00
you joke (familiar)|tu scherzi|6|2.00
you hope (plural)|voi sperate|6|2.00
she asks|lei chiede|6|2.00
they erase|voi cancellano|6|2.00
you bother (plural)|voi infastidite|6|2.00
you operate (familiar)|tu operi|6|2.00
they study|voi studiano|6|2.00
we balance|noi bilanciamo|6|2.00
they walk|voi camminano|6|2.00
he chases|lui insegue|6|2.00
she softens|lei ammorbide|6|2.00
you repeat (familiar)|tu ripeti|6|2.00
they sold (absolute)|loro venderono/vendettero|6|2.00
she continues|lei continua|6|2.00
you invent (plural)|voi inventate|6|2.00
you show (familiar)|tu mostri|6|2.00
you season (familiar)|tu condi|6|2.00
we entertain|noi intratteniamo|6|2.00
I promise|io prometto|6|2.00
she yells|lei urla|6|2.00
you swear (plural)|voi piurate|6|2.00
you ruin (plural)|voi rovinate|6|2.00
she learns|lei impara|6|2.00
you yell (formal)|Lei urla|6|2.00
they protect|voi proteggono|6|2.00
I don't live in Italy|non abito in Italia|6|2.00
you finished (absolute familiar)|tu finisti|6|2.00
I make|io faccio|6|2.00
they believe|voi credono|6|2.00
you die (formal)|Lei more|6|2.00
you reset (formal)|Lei riposa|6|2.00
you convince (familiar)|tu convinci|6|2.00
we accompany|noi accompagniamo|6|2.00
you bleed (formal)|Lei pesanguina|6|2.00
she makes|lei fa|6|2.00
you break (formal)|Lei rompe|6|2.00
you mix (plural)|voi mescolate|6|2.00
they understand|loro capiscono|6|2.00
he changes|lui cambia|6|2.00
you wet (plural)|voi inumidite|6|2.00
they had|avevano|6|2.00
he has|lui ha|6|2.00
we cure|noi curiamo|6|2.00
he caresses|lui acca|6|2.00
he hides|lui nasconde|6|2.00
you convene (familiar)|tu conveni|6|2.00
you arrive (familiar)|tu arrivi|6|2.00
you cut (formal)|Lei taglia|6|2.00
he weakens|lui indebole|6|2.00
you accredit (plural)|voi accreditate|6|2.00
they improve|voi migliorano|6|2.00
he ignores|lui ignora|6|2.00
he retains|lui ritene|6|2.00
you would speak (familiar)|tu parleresti|6|2.00
we correct|noi correggiamo|6|2.00
we hear|noi sentiamo|6|2.00
she withdraws|lei ritira|6|2.00
you pull (formal)|Lei tira|6|2.00
they cough|voi tossono|6|2.00
you end (familiar)|tu termini|6|2.00
she had spoken|aveva parlato|6|2.00
she catchs|lei acchiappa|6|2.00
they were|erano|6|2.00
you spend (familiar)|tu spendi|6|2.00
they finish|voi finiscono|6|2.00
he dissolves|lui scioglie|6|2.00
we sleep|noi dormiamo|6|2.00
we bring|noi portiamo|6|2.00
you injure (formal)|Lei ferisce|6|2.00
you awake (familiar)|tu sveglii|6|2.00
you drive (plural)|voi guidate|6|2.00
we hope|noi speriamo|6|2.00
we promise|noi promettiamo|6|2.00
you injure (familiar)|tu ferisci|6|2.00
you participate (plural)|voi partecipate|6|2.00
we employ|noi impieghiamo|6|2.00
we laugh|noi ridiamo|6|2.00
you fry (familiar)|tu friggi|6|2.00
she returns|lei ritorna|6|2.00
they welcome|voi accogliono|6|2.00
I cultivate|io coltivo|6|2.00
you absorb (familiar)|tu assorbi|6|2.00
you build (formal)|Lei costrue|6|2.00
he asks|lui chiede|6|2.00
we swallow|noi ingoiiamo|6|2.00
I consult|io consulto|6|2.00
she shouts|lei grida|6|2.00
you open (subjunctive) (plural)|voi apriate|6|2.00
I was finishing|finivo|6|2.00
you disappear (familiar)|tu scompari|6|2.00
you admit (formal)|Lei ammette|6|2.00
I rest|io riposo|6|2.00
I season|io condo|6|2.00
they bite|voi mordono|6|2.00
she cleans|lei pule|6|2.00
you bleed (familiar)|tu pesanguini|6|2.00
she grabs|lei afferra|6|2.00
she grows|lei cresce|6|2.00
I cook|io cucino|6|2.00
you communicate (plural)|voi comunicate|6|2.00
they whistle|voi fischiano|6|2.00
he communicates|lui comunica|6|2.00
they build|voi costruono|6|2.00
we shine|noi brilliamo|6|2.00
she screams|lei urla|6|2.00
you flatter (formal)|Lei lusinga|6|2.00
she jokes|lei scherza|6|2.00
you bring (formal)|Lei porta|6|2.00
I will have eaten|avrò mangiato|6|2.00
you divide (formal)|Lei divide|6|2.00
we cheat|noi inganniamo|6|2.00
he cultivates|lui coltiva|6|2.00
I invent|io invento|6|2.00
they reunite|voi riunono|6|2.00
you turn (plural)|voi voltate|6|2.00
you arrange (formal)|Lei ordina|6|2.00
you obey (plural)|voi obbedite|6|2.00
he guides|lui guida|6|2.00
you brake (familiar)|tu freni|6|2.00
we trade|noi commerciamo|6|2.00
I save|io risparmio|6|2.00
I open|io apro|6|2.00
I help|io sovveno|6|2.00
he bites|lui morde|6|2.00
you buy (familiar)|tu compri|6|2.00
I study|io studio|6|2.00
you insist (formal)|Lei insiste|6|2.00
you breathe (formal)|Lei respira|6|2.00
you soften (familiar)|tu ammorbidi|6|2.00
we open|noi apriamo|6|2.00
they invite|voi invitano|6|2.00
they had sold|avevano venduto|6|2.00
they consult|voi consultano|6|2.00
you do (plural)|voi fate|6|2.00
you insure (familiar)|tu assicuri|6|2.00
he defends|lui difende|6|2.00
they had fallen|erano caduti|6|2.00
you accomplish (plural)|voi compiete|6|2.00
he laughs|lui ride|6|2.00
you insist (familiar)|tu insisti|6|2.00
I cure|io curo|6|2.00
he builds|lui costrue|6|2.00
they ring|voi squillano|6|2.00
you hang (plural)|voi appendete|6|2.00
I finish work late|finisco di lavorare tardi|6|2.00
you guide (formal)|Lei guida|6|2.00
they send|loro spediscono|6|2.00
I admit|io ammetto|6|2.00
you insist (plural)|voi insistete|6|2.00
you sew (familiar)|tu cuci|6|2.00
they reserve|voi riservano|6|2.00
you tie (plural)|voi legate|6|2.00
you insert (plural)|voi inserite|6|2.00
you write (formal)|Lei scrive|6|2.00
you avoid (formal)|Lei evita|6|2.00
you dry (plural)|voi asciugate|6|2.00
she presses|lei preme|6|2.00
we escape|noi fuggiamo|6|2.00
they guess|voi indovinano|6|2.00
she cures|lei cura|6|2.00
I applaud|io applaudo|6|2.00
I live far from Rome|abito lontano da Roma|6|2.00
you hate (familiar)|tu odii|6|2.00
you stop (plural)|voi fermate|6|2.00
I check|io verifico|6|2.00
you obtain (plural)|voi ottenete|6|2.00
she was|era|6|2.00
he visits|lui visita|6|2.00
we recognize|noi riconosciamo|6|2.00
I reproach|io rimprovero|6|2.00
he welcomes|lui accoglie|6|2.00
they invade|voi invadono|6|2.00
she dreams|lei sogna|6|2.00
I modify|io modifico|6|2.00
I pay|io pago|6|2.00
you would pay (familiar)|tu pagheresti|6|2.00
you whistle (familiar)|tu fischii|6|2.00
we offer|noi offriamo|6|2.00
they deserve|voi meritano|6|2.00
they will speak|loro parleranno|6|2.00
you dance (formal)|Lei balla|6|2.00
I die|io moro|6|2.00
they take|voi prendono|6|2.00
you taste (familiar)|tu assaggi|6|2.00
she attachs|lei attacca|6|2.00
I try|io provo|6|2.00
we skate|noi pattiniamo|6|2.00
she allows|lei permette|6|2.00
you shout (familiar)|tu gridi|6|2.00
you bite (familiar)|tu mordi|6|2.00
he nails|lui inchioda|6|2.00
she pulls|lei tira|6|2.00
he risks|lui rischia|6|2.00
you speak (familiar)|tu parli|6|2.00
you have (familiar)|tu hai|6|2.00
I love|io amo|6|2.00
you awake (plural)|voi svegliate|6|2.00
they caress|voi accano|6|2.00
you spoil (familiar)|tu guasti|6|2.00
I brake|io freno|6|2.00
you start (plural)|voi cominciate|6|2.00
you force (familiar)|tu obblighi|6|2.00
you swallow (plural)|voi ingoiate|6|2.00
they wet|voi inumidono|6|2.00
you would have spoken (plural)|voi avreste parlato|6|2.00
I divide|io divido|6|2.00
he reads|lui legge|6|2.00
you baptize (formal)|Lei battezza|6|2.00
you would finish (plural)|voi finireste|6|2.00
you remove (plural)|voi rimuovete|6|2.00
she seasons|lei conde|6|2.00
they escape|voi scappano|6|2.00
tell him the truth! (familiar)|digli la verità!|6|2.00
she carrys|lei porta|6|2.00
we cancel|noi cancelliamo|6|2.00
he plans|lui progetta|6|2.00
you doubt (formal)|Lei dubita|6|2.00
you wet (familiar)|tu inumidi|6|2.00
she burns|lei brucia|6|2.00
we nail|noi inchiodiamo|6|2.00
you tear (formal)|Lei strappa|6|2.00
he draws|lui disegna|6|2.00
you accompany (familiar)|tu accompagni|6|2.00
he pulls|lui tira|6|2.00
they open|voi aprono|6|2.00
you establish (plural)|voi stabilite|6|2.00
you visit (plural)|voi vistate|6|2.00
we sew|noi cuciamo|6|2.00
they pay|voi pagano|6|2.00
you inherit (familiar)|tu erediti|6|2.00
I attend|io assisto|6|2.00
she loads|lei carica|6|2.00
she visits|lei visita|6|2.00
we travel|noi viaggiamo|6|2.00
you raise (formal)|Lei eleva|6|2.00
he hits|lui colpe|6|2.00
I fly|io volo|6|2.00
